WEO Country Group Code,WEO Subject Code,Country Group Name,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,Estimates Start After
1,PCPIEPCH,World,"Inflation, end of period consumer prices",,Percent change,,,n/a,n/a,n/a,n/a,n/a,16.449,9.648,18.151,22.907,24.242,25.068,18.898,41.77,41.903,25.498,12.589,7.892,5.981,7.188,5.099,4.882,3.892,4.073,3.635,4.108,3.975,3.932,5.31,4.66,3.08,4.277,4.752,3.962,3.281,2.906,2.835,3.018,3.311,3.56,3.851,2.899,6.327,8.906,6.131,4.116,3.569,3.561,3.515,3.31,
1,TRADEPCH,World,Trade volume of goods and services,,Percent change,,,2.946,3.236,-1.666,1.559,8.621,2.579,4.532,6.579,8.863,8.216,6.829,5.337,5.561,2.952,9.489,9.56,6.571,10.23,4.891,5.104,12.441,0.597,3.768,5.857,10.942,7.906,9.451,8.017,3.02,-10.325,12.797,7.017,3.157,3.462,3.853,2.938,2.24,5.636,4.04,0.985,-7.791,10.617,5.116,2.413,3.549,3.611,3.569,3.472,3.36,
1,TM_RPCH,World,Volume of imports of goods and services,,Percent change,,,1.643,2.208,-1.621,1.659,8.819,2.26,5.284,7.202,8.852,8.579,6.678,4.657,5.314,2.137,10.299,9.577,7.074,10.154,5.307,5.732,12.566,0.649,3.794,6.09,10.868,8.071,9.252,8.295,3.072,-10.733,12.602,7.207,2.993,3.407,4.074,2.781,2.184,5.758,4.316,0.908,-8.153,10.641,5.446,2.363,3.576,3.628,3.635,3.561,3.448,
1,TMG_RPCH,World,Volume of imports of goods,,Percent change,,,1.283,1.105,-1.475,2.657,9.932,3.163,6.563,6.884,9.712,7.907,6.58,5.128,6.446,2.919,10.775,10.28,7.158,11.036,4.89,6.241,13.033,0.078,4.081,6.977,11.269,8.377,9.471,8.045,3.002,-12.272,13.935,7.873,2.603,3.195,3.097,2.263,2.154,5.758,4.307,0.33,-5.709,11.517,4.023,1.569,3.178,3.595,3.643,3.575,3.477,
1,TX_RPCH,World,Volume of exports of goods and services,,Percent change,,,4.243,4.235,-1.709,1.464,8.431,2.884,3.815,5.977,8.873,7.861,6.977,6.003,5.8,3.738,8.721,9.544,6.085,10.304,4.487,4.488,12.318,0.545,3.741,5.625,11.017,7.741,9.651,7.74,2.968,-9.915,12.99,6.828,3.319,3.516,3.635,3.094,2.296,5.515,3.767,1.061,-7.431,10.595,4.79,2.462,3.523,3.593,3.503,3.382,3.273,
1,TXG_RPCH,World,Volume of exports of goods,,Percent change,,,4.066,4.358,-2.233,1.868,8.991,3.428,3.719,6.198,9.487,7.681,6.301,6.686,6.608,4.16,9.246,10.087,5.887,10.977,4.164,4.991,13.041,0.247,3.849,6.346,10.976,7.849,9.669,7.168,2.557,-11.284,14.671,7.029,3.327,3.3,2.976,2.446,2.022,5.542,3.351,0.063,-4.238,10.656,2.595,1.515,3.26,3.471,3.42,3.315,3.191,
1,TTPCH,World,Terms of trade of goods and services,,Percent change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TTTPCH,World,Terms of trade of goods,,Percent change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TXGM_D,World,Export price of manufactures,,"U.S. dollars; index, 2000=100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TXGM_DPCH,World,Export price of manufactures,,U.S. dollars; annual percent change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,LUR,World,Unemployment rate,,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,LE,World,Employment,,"Index, 2000=100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GGR_NGDP,World,General government revenue,"Revenue consists of taxes, social contributions, grants receivable, and other revenue. Revenue increases government's net worth, which is the difference between its assets and liabilities (GFSM 2001, paragraph 4.20). Note: Transactions that merely change the composition of the balance sheet do not change the net worth position, for example, proceeds from sales of nonfinancial and financial assets or incurrence of liabilities.",Percent of GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GGX_NGDP,World,General government total expenditure,"Total expenditure consists of total expense and the net acquisition of nonfinancial assets. Note: Apart from being on an accrual basis, total expenditure differs from the GFSM 1986 definition of total expenditure in the sense that it also takes the disposals of nonfinancial assets into account.",Percent of GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GGXCNL_NGDP,World,General government net lending/borrowing,"Net lending (+)/ borrowing (-) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (-) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GGSB_NPGDP,World,General government structural balance,,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GGXONLB_NGDP,World,General government primary net lending/borrowing,Primary net lending/borrowing is net lending (+)/borrowing (-) plus net interest payable/paid (interest expense minus interest revenue).,Percent of GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GGXWDN_NGDP,World,General government net debt,"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GGXWDG_NGDP,World,General government gross debt,"Gross debt consists of all liabilities that require payment or payments of interest and/or principal by the debtor to the creditor at a date or dates in the future. This includes debt liabilities in the form of SDRs, currency and deposits, debt securities, loans, insurance, pensions and standardized guarantee schemes, and other accounts payable. Thus, all liabilities in the GFSM 2001 system are debt, except for equity and investment fund shares and financial derivatives and employee stock options. Debt can be valued at current market, nominal, or face values (GFSM 2001, paragraph 7.110).",Percent of GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BCA,World,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income. Data for the world total reflects errors, omissions, and asymmetries in balance of payments statistics on current account, as well as the exclusion of data for international organizations and a limited number of countries. Calculated as the sum of the balance of individual countries.",U.S. dollars,Billions,,-55.909,-81.775,-91.53,-75.767,-67.835,-63.432,-66.165,-63.327,-56.959,-83.052,-111.275,-151.457,-135.961,-66.626,-88.801,-74.191,-61.985,-9.268,-82.311,-99.002,-156.54,-187.674,-145.376,-84.283,9.273,48.175,170.657,203.522,85.755,162.236,289.29,311.324,369.069,388.239,378.881,180.153,253.616,446.342,326.954,376.926,281.709,760.931,324.236,160.063,198.915,213.199,182.73,92.041,12.488,
1,BCA_NGDPD,World,Current account balance,,Percent of GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BM,World,Imports of goods and services,,U.S. dollars,Billions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BX,World,Exports of goods and services,,U.S. dollars,Billions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BF,World,Financial account balance,,U.S. dollars,Billions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BFD,World,"Direct investment, net",,U.S. dollars,Billions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BFP,World,"Portfolio investment, net",,U.S. dollars,Billions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BFF,World,"Financial derivatives, net",,U.S. dollars,Billions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BFO,World,"Other investment, net",,U.S. dollars,Billions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BFRA,World,Change in reserves,,U.S. dollars,Billions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,World,"External debt, total",,U.S. dollars,Billions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D_NGDPD,World,"External debt, total",,Percent of GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D_BX,World,"External debt, total",,Percent of exports of goods and services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,DS,World,"External debt, total debt service",,U.S. dollars,Billions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,DS_NGDPD,World,"External debt, total debt service",,Percent of GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,DS_BX,World,"External debt, total debt service",,Percent of exports of goods and services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,DSI,World,"External debt, total debt service, interest",,U.S. dollars,Billions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,DSI_NGDPD,World,"External debt, total debt service, interest",,Percent of GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,DSI_BX,World,"External debt, total debt service, interest",,Percent of exports of goods and services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,DSP,World,"External debt, total debt service, amortization",,U.S. dollars,Billions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,DSP_NGDPD,World,"External debt, total debt service, amortization",,Percent of GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,DSP_BX,World,"External debt, total debt service, amortization",,Percent of exports of goods and services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PALLFNFW,World,Commodity Price Index includes both Fuel and Non-Fuel Price Indices,,"Index, 2016=100",,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,51.169,49.801,52.109,55.798,59.59,56.123,47.306,47.983,60.391,56.192,55.851,65.678,79.201,97.676,114.076,129.12,162.561,115.997,145.392,181.573,173.386,168.17,158.255,107.921,100,113.335,127.727,117.023,105.852,161.244,215.204,166.025,162.751,158.621,155.18,153.664,152.66,
1,PNFUELW,World,Commodity Non-Fuel Price Index includes Food and Beverages and Industrial Inputs Price Indices,,"Index, 2016=100",,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,53.141,52.995,58.621,62.642,63.068,59.457,54.194,49.398,51.055,48.941,50.913,57.551,66.147,71.472,87.026,102.222,114.171,97.486,122.485,147.049,135.545,128.273,120.878,100.274,100,106.445,107.812,108.547,115.632,146.142,156.919,152.514,151.035,150.259,150.304,150.727,150.889,
1,PINDUW,World,Commodity Industrial Inputs Price Index includes Agricultural Raw Materials and Metals Price Indices,,"Index, 2016=100",,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,54.559,52.574,60.533,70.039,63.383,61.133,49.656,49.634,54.876,48.404,48.635,56.571,71.787,83.66,120.908,144.253,134.286,113.946,169.463,195.612,159.517,153.141,136.066,104.061,100,117.409,123.803,125.747,128.116,179.237,172.847,173.763,169.925,167.643,166.997,167.965,168.579,
1,POILAPSP,World,"Crude Oil (petroleum), simple average of three spot prices; Dated Brent, West Texas Intermediate, and the Dubai Fateh, US$ per barrel","The APSP denotes an equally weighted average of three crude oil spot prices West Texas Intermediate ( WTI ), Dated Brent ( Brent ), and Dubai Fateh ( Dubai ). The prices of these crude oils tend to move together according to the inequality WTI > Brent > Dubai. Their price differentials reflect differences in American Petroleum Institute (API) measure of gravity, sulfur content, and overall weight. The WTI spot price refers to the physical delivery price for a barrel of WTI deliverable to Cushing, Oklahoma. The WTI price is frequently mentioned in the financial press, and is often described as the  headline  oil price. The Brent spot price is the physical delivery price for a barrel of either Dated Brent (UK), Forties (Norway), or Oseberg (Norway) to Sullom Voe, United Kingdom (in the Shetland Islands). The Dubai Fateh spot price refers to the physical price for a barrel of Dubai Fateh deliverable in the Arabian Gulf at Dubai, United Arab Emirates.",U.S. dollars,Units,,37.919,36.949,32.948,30.113,29.061,27.806,14.438,18.17,14.734,17.847,22.895,19.385,19.039,16.841,15.944,17.247,20.495,19.352,13.236,18.179,28.471,24.49,25.001,28.909,37.807,53.506,64.402,71.189,96.767,61.501,79.144,104.069,105.097,104.172,96.326,50.912,43.264,52.978,68.533,61.432,41.765,69.25,96.362,73.13,68.9,66.963,65.4,64.028,62.759,
1,POILBRE,World,"Crude Oil (petroleum),  Dated Brent, light blend 38 API, fob U.K., US$ per barrel",,U.S. dollars,Units,,37.919,36.949,32.948,29.81,28.743,27.624,14.474,18.408,14.964,18.23,23.707,20.075,19.358,17.085,15.96,17.199,20.809,19.31,13.126,18.108,28.845,24.714,25.115,28.779,38.234,54.684,65.605,72.653,97.33,61.581,79.807,111.539,112.012,108.962,99.345,53.023,45.079,54.887,71.613,64.198,43.334,70.831,98.996,75.358,71.284,69.404,67.963,66.731,65.636,
1,POILDUB,World,"Oil; Dubai, medium, Fateh 32 API, fob Dubai Crude Oil (petroleum), Dubai Fateh Fateh 32 API, US$ per barrel",,U.S. dollars,Units,,35.846,34.294,31.757,28.468,27.509,26.508,13.039,16.949,13.261,15.692,20.468,16.589,17.176,14.965,14.705,16.128,18.526,18.154,12.213,17.191,26.23,22.822,23.774,26.811,33.76,49.358,61.517,68.571,93.407,61.205,78.198,105.604,109.097,105.604,96.514,50.908,41.47,53.138,69.17,63.162,42.607,68.961,95.289,74.089,69.37,67.491,66.049,64.817,63.722,
1,POILWTI,World,"Crude Oil (petroleum), West Texas Intermediate 40 API, Midland Texas, US$ per barrel",,U.S. dollars,Units,,37.879,36.168,32.67,30.396,29.378,27.988,15.095,19.154,15.976,19.619,24.51,21.49,20.583,18.474,17.168,18.414,22.152,20.591,14.368,19.239,30.338,25.933,26.113,31.137,41.427,56.477,66.083,72.343,99.565,61.718,79.429,95.063,94.181,97.95,93.119,48.805,43.243,50.908,64.815,56.937,39.355,67.957,94.801,69.943,66.047,63.995,62.188,60.536,58.918,
1,PNRGW,World,"Commodity Fuel (energy) Index includes Crude oil (petroleum), Natural Gas, and Coal Price Indices",,"Index, 2016=100",,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,47.937,44.907,42.343,45.622,54.306,51.019,37.296,45.868,73.621,66.356,62.519,77.435,98.085,135.578,153.202,168.027,232.557,142.772,178.527,231.512,228.121,225.88,212.321,118.982,100,123.301,156.535,129.285,91.705,183.089,299.511,185.569,179.699,170.715,162.232,157.911,155.222,
1,POILAPSPW,World,"Crude Oil (petroleum), Price index simple average of three spot prices (APSP); Dated Brent, West Texas Intermediate, and the Dubai Fateh","The APSP denotes an equally weighted average of three crude oil spot prices West Texas Intermediate ( WTI ), Dated Brent ( Brent ), and Dubai Fateh ( Dubai ). The prices of these crude oils tend to move together according to the inequality WTI > Brent > Dubai. Their price differentials reflect differences in American Petroleum Institute (API) measure of gravity, sulfur content, and overall weight. The WTI spot price refers to the physical delivery price for a barrel of WTI deliverable to Cushing, Oklahoma. The WTI price is frequently mentioned in the financial press, and is often described as the  headline  oil price. The Brent spot price is the physical delivery price for a barrel of either Dated Brent (UK), Forties (Norway), or Oseberg (Norway) to Sullom Voe, United Kingdom (in the Shetland Islands). The Dubai Fateh spot price refers to the physical price for a barrel of Dubai Fateh deliverable in the Arabian Gulf at Dubai, United Arab Emirates.","Index, 2016=100",,,86.051,82.767,75.072,68.355,66.012,63.308,32.82,41.999,34.039,41.216,52.875,44.744,43.986,38.902,36.855,39.876,47.353,44.743,30.598,42.038,65.799,56.609,57.809,66.833,87.341,123.644,148.898,164.605,223.799,142.307,183.095,240.639,243.117,240.959,222.818,117.748,100,122.54,158.514,142.13,96.627,160.191,222.872,169.19,159.382,154.899,151.282,148.107,145.17,
1,PNGASW,World,"Commodity Natural Gas Price Index includes European, Japanese, and American Natural Gas Price Indices",,"Index, 2016=100",,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,57.745,63.624,57.432,58.839,73.662,69.425,56.795,58.339,106.154,102.277,84.139,120.93,132.299,192.954,186.969,191.204,268.2,152.893,162.269,203.064,208.984,212.046,212.113,139.385,100,115.885,144.582,91.526,71.714,253.674,521.579,218.752,232.835,208.265,179.308,167.989,164.552,
1,PNGASEU,World,"Natural Gas, Russian Natural Gas border price in Germany, US$ per million metric British thermal units of gas",,U.S. dollars,Units,,n/a,n/a,n/a,n/a,n/a,3.81,3.44,2.13,1.9,1.589,2.035,3.008,2.365,2.598,2.312,2.696,2.75,2.67,2.245,1.807,3.454,3.873,2.666,3.486,3.755,5.915,8.213,8.143,13.138,8.855,8.223,10.597,11.981,11.189,10.463,7.305,4.353,5.744,7.916,4.455,3.178,15.907,37.52,14.973,15.766,13.069,10.153,9.032,8.932,
1,PNGASJP,World,"Natural Gas, Indonesian Liquified Natural Gas in Japan, US$ per million metric British thermal units of liquid",,U.S. dollars,Units,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.744,3.598,3.285,3.557,3.903,3.761,2.754,3.343,5.235,4.669,4.427,4.981,5.891,7.033,8.049,8.411,11.591,7.491,9.381,15.553,18.145,17.339,16.998,10.958,7.439,7.247,9.795,5.445,4.366,18.6,33.297,14.884,14.565,11.908,9.917,9.357,8.796,
1,PNGASUS,World,"Natural Gas, Natural Gas spot price at the Henry Hub terminal in Louisiana, US$ per million metric British thermal units of gas",,U.S. dollars,Units,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.451,1.751,2.114,1.915,1.704,2.689,2.46,2.088,2.261,4.308,3.959,3.361,5.507,5.908,8.895,6.74,6.982,8.858,3.946,4.386,4,2.752,3.728,4.276,2.63,2.553,3.019,3.069,2.529,2.13,3.716,6.516,2.865,3.588,4.2,4.375,4.358,4.345,
1,PCOALW,World,Commodity Coal Price Index includes Australian and South African Coal,,"Index, 2016=100",,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,53.817,52.75,49.892,43.279,45.214,55.434,53.179,49.374,41.687,37.313,39.351,49.338,39.495,43.288,82.919,71.922,76.882,98.373,192.189,104.445,145.769,182.639,144.5,126.651,110.149,89.045,100,132.739,156.791,113.955,94.846,199.939,484.504,263.697,240.132,224.532,219.056,220.017,220.326,
1,PCOALAU,World,"Coal, Australian thermal coal, 1200- btu/pound, less than 1% sulfur, 14% ash, FOB Newcastle/Port Kembla, US$ per metric tonne",,U.S. dollars,Units,,42.935,50.818,54.768,38.188,30.958,33.75,31.125,27.5,34.875,38,39.667,39.667,38.563,31.333,32.3,39.372,38.074,35.099,29.231,25.892,26.25,32.313,27.06,27.954,56.73,50.816,52.731,70.089,138.024,76.16,104.599,129.607,101.443,90.134,75.729,62.693,70.082,94.138,113.231,82.193,61.983,143.985,384.17,220.767,190.793,178.36,174.996,174.839,175.04,
1,PCOALSA,World,"Coal, South African export price, US$ per metric tonne",,U.S. dollars,Units,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,32.875,31.5,28.833,26.958,28.563,35.229,33.518,31.349,26.839,24.273,26.57,33.864,26.011,30.076,54.684,45.953,50.583,62.315,120.741,64.559,91.658,116.173,92.924,80.324,72.303,57.097,64.419,84.486,97.925,71.265,65.223,125.247,271.097,136.813,134.004,125.333,121.371,122.754,122.967,
1,PFANDBW,World,Commodity Food and Beverage Price Index includes Food and Beverage Price Indices,,"Index, 2016=100",,,64.108,64.108,64.108,64.108,64.108,64.108,64.108,64.108,64.108,64.108,64.108,64.108,56.381,57.553,62.182,64.926,68.44,64.166,67.913,59.084,58.194,57.964,61.342,66.937,73.355,75.181,81.385,92.852,109.426,92.795,105.432,125.434,119.774,118.289,118.026,98.889,100,103.204,101.321,98.043,99.741,125.55,143.221,135.242,131.46,128.797,128.144,128.144,128.144,
